,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Lavrentiya,88,RU,1551836960,97,65.58,-170.99,29.966,3.47
1,Kaitangata,8,NZ,1551836429,64,-46.28,169.85,71.99600000000001,2.24
2,Ushuaia,40,AR,1551834000,75,-54.81,-68.31,42.8,8.2
3,Chokurdakh,0,RU,1551836960,77,70.62,147.9,-17.680000000000007,1.47
4,Rikitea,92,PF,1551836961,97,-23.12,-134.97,81.01400000000001,6.77
5,Kapaa,90,US,1551836897,56,22.08,-159.32,75.2,9.8
6,Abashiri,0,JP,1551835265,51,44.01,144.25,42.998000000000005,1.5
7,Alice Springs,0,AU,1551834000,23,-23.7,133.88,87.80000000000001,7.7
8,Hilo,90,US,1551836916,88,19.71,-155.08,71.99600000000001,5.7
9,Sao Joao da Barra,76,BR,1551836961,98,-21.64,-41.05,82.4,8.32
10,Tasiilaq,36,GL,1551833400,41,65.61,-37.64,19.4,10.8
11,Mount Gambier,40,AU,1551834000,47,-37.83,140.78,59.0,9.8
12,Cape Town,0,ZA,1551836622,88,-33.93,18.42,68.0,2.1
13,Yellowknife,20,CA,1551834000,66,62.45,-114.38,12.2,2.1
14,Avarua,76,CK,1551834000,65,-21.21,-159.78,80.6,3.6
15,Provideniya,0,RU,1551834000,68,64.42,-173.23,30.2,5.0
16,Vila Velha,40,BR,1551836099,78,-3.71,-38.6,82.4,3.6
17,Ponta do Sol,44,BR,1551836962,90,-20.63,-46.0,67.51400000000001,1.32
18,Kelme,90,LT,1551835200,68,55.63,22.93,28.4,5.1
19,Puerto Ayora,0,EC,1551836963,100,-0.74,-90.35,78.89,3.67
20,Faanui,80,PF,1551836963,100,-16.48,-151.75,83.98400000000001,2.87
21,Luderitz,0,NA,1551836963,89,-26.65,15.16,59.269999999999996,0.82
22,Kanigoro,24,ID,1551836963,100,-8.13,112.22,82.904,3.12
23,Jamestown,20,AU,1551836947,79,-33.21,138.6,62.384,5.82
24,Gumdag,0,TM,1551836964,89,39.2,54.59,39.434,2.52
25,Sao Desiderio,12,BR,1551836964,89,-12.36,-44.97,66.614,1.22
26,Upernavik,56,GL,1551836964,100,72.79,-56.15,9.355999999999998,4.87
27,Qaanaaq,44,GL,1551836964,83,77.48,-69.36,-9.759999999999998,2.07
28,Primorsk,0,RU,1551836964,81,60.37,28.62,7.735999999999997,3.42
29,Bluff,56,AU,1551836964,71,-23.58,149.07,84.47,2.82
30,Kavaratti,20,IN,1551836965,100,10.57,72.64,81.59,6.32
31,Pabna,48,BD,1551836965,100,24.0,89.25,67.82,1.97
32,Zabaykalsk,12,CN,1551836965,40,49.64,117.33,30.02,4.07
33,Castro,90,CL,1551834000,100,-42.48,-73.76,55.400000000000006,7.2
34,Nanortalik,80,GL,1551836966,100,60.14,-45.24,27.086,19.37
35,Hobart,75,AU,1551836840,50,-42.88,147.33,57.002,8.7
36,Albany,75,US,1551836786,53,42.65,-73.75,23.0,6.2
37,Hamilton,90,BM,1551836316,88,32.3,-64.78,71.6,11.8
38,Ishigaki,75,JP,1551834000,83,24.34,124.16,69.80000000000001,3.6
39,Paita,76,PE,1551836735,76,-5.09,-81.11,77.27,2.42
40,Cidreira,56,BR,1551836967,92,-30.17,-50.22,74.624,2.07
41,Geraldton,20,CA,1551834000,64,49.72,-86.95,-2.200000000000003,1.5
42,Bethel,90,US,1551834000,93,60.79,-161.76,35.6,4.6
43,Pilar,0,AR,1551836896,83,-34.46,-58.91,73.994,4.6
44,Vostok,0,RU,1551836803,49,46.45,135.83,25.34,2.52
45,Saint-Philippe,75,CA,1551836937,78,45.36,-73.48,17.006,3.1
46,Matagami,24,NG,1551836696,80,9.67,8.4,64.004,1.17
47,Tiksi,64,RU,1551836968,67,71.64,128.87,9.535999999999998,4.67
48,Dongsheng,44,CN,1551836968,80,29.72,112.52,57.884,5.27
49,Shingu,75,JP,1551834000,62,33.72,135.99,59.0,2.6
50,Sala Consilina,8,IT,1551836968,95,40.4,15.6,31.82,0.42
51,Airai,36,TL,1551836969,71,-8.93,125.41,80.834,0.87
52,Port Elizabeth,1,US,1551836965,73,39.31,-74.98,32.0,2.6
53,Cherskiy,80,RU,1551836969,71,68.75,161.3,1.0399999999999991,1.57
54,Nanjing,32,CN,1551836965,65,32.06,118.79,57.992000000000004,3.72
55,Tura,88,IN,1551836969,91,25.52,90.21,63.914,1.67
56,Punta Arenas,75,CL,1551836592,100,-53.16,-70.91,44.6,3.1
57,San Patricio,8,PY,1551836728,76,-26.98,-56.83,76.874,2.42
58,Barrow,24,AR,1551836970,40,-38.31,-60.23,66.434,3.77
59,Salalah,0,OM,1551833400,60,17.01,54.1,73.4,2.1
60,Mataura,0,NZ,1551836970,34,-46.19,168.86,80.924,7.62
61,Vaini,20,IN,1551834000,93,15.34,74.49,59.0,1.02
62,Iqaluit,5,CA,1551836567,68,63.75,-68.52,-18.004000000000005,3.6
63,Kayerkan,68,RU,1551836971,83,69.35,87.76,9.05,8.37
64,Torbay,75,CA,1551836915,79,47.66,-52.73,26.996000000000002,8.2
65,Chernolesskoye,8,RU,1551836971,79,44.72,43.71,34.124,2.22
66,Mailsi,0,PK,1551836971,77,29.8,72.18,55.544,1.22
67,Bandar-e Lengeh,0,IR,1551836971,100,26.56,54.88,66.614,5.22
68,Saint George,40,GR,1551833400,86,39.45,22.34,41.0,1.62
69,Mirabad,0,IR,1551836972,70,28.27,61.33,29.966,1.17
70,Guilin,90,CN,1551834000,87,25.28,110.29,53.6,1.0
71,Saskylakh,80,RU,1551836972,69,71.97,114.09,-1.9300000000000068,3.77
72,Tupanatinga,8,BR,1551836972,89,-8.75,-37.34,69.62,2.52
73,Salinopolis,36,BR,1551836972,100,-0.61,-47.36,78.85400000000001,2.77
74,Soavinandriana,12,MG,1551836973,89,-19.17,46.74,57.704,1.22
75,Xihe,32,CN,1551836973,73,34.02,105.29,35.69,1.52
76,Ostrovnoy,8,RU,1551836680,93,68.05,39.51,12.29,8.92
77,Coquimbo,0,CL,1551834000,87,-29.95,-71.34,60.8,2.87
78,Road Town,40,VG,1551836707,65,18.42,-64.62,78.80000000000001,4.6
79,Nacozari,36,MX,1551836898,72,25.34,-108.26,71.99600000000001,0.89
80,Boa Vista,40,BR,1551834000,45,2.82,-60.67,87.80000000000001,7.2
81,Lompoc,75,US,1551836719,93,34.64,-120.46,57.2,4.6
82,Verkhnevilyuysk,12,RU,1551836718,79,63.45,120.31,21.956,3.57
83,Meulaboh,24,ID,1551836975,100,4.14,96.13,82.994,1.62
84,Nuuk,48,GL,1551833400,68,64.17,-51.74,24.8,7.2
85,Bambous Virieux,40,MU,1551834000,78,-20.34,57.76,78.80000000000001,4.37
86,Chabahar,0,IR,1551836975,100,25.29,60.65,66.92,2.87
87,Adrar,0,DZ,1551834000,24,27.87,-0.29,59.0,4.1
88,Hermanus,0,ZA,1551836717,80,-34.42,19.24,69.008,3.58
89,Senneterre,40,CA,1551834600,91,48.39,-77.24,-5.800000000000004,1.5
90,Flinders,0,AU,1551836526,33,-34.58,150.85,96.00800000000001,12.3
91,Fairbanks,75,US,1551836607,53,64.84,-147.72,28.994,3.27
92,Mahebourg,40,MU,1551834000,78,-20.41,57.7,78.80000000000001,4.37
93,Russellville,1,US,1551834900,29,35.28,-93.13,37.4,4.1
94,Nikolskoye,0,RU,1551836975,78,59.7,30.79,12.001999999999999,6.0
95,Mar del Plata,24,AR,1551836977,53,-46.43,-67.52,61.574,11.42
96,Atuona,92,PF,1551836977,100,-9.8,-139.03,80.69,6.82
97,Itarema,36,BR,1551836977,95,-2.92,-39.92,74.44399999999999,1.52
98,Port Alfred,0,ZA,1551836830,94,-33.59,26.89,69.008,1.79
99,Daru,0,SL,1551836733,77,7.99,-10.85,75.47,2.97
100,Bredasdorp,0,ZA,1551836717,93,-34.53,20.04,69.008,0.5
101,Tarauaca,12,BR,1551836978,89,-8.16,-70.77,76.55000000000001,0.92
102,San Rafael del Sur,20,NI,1551834000,55,11.85,-86.44,86.0,4.1
103,Georgetown,20,GY,1551834000,83,6.8,-58.16,78.80000000000001,3.1
104,Hithadhoo,56,MV,1551836978,100,-0.6,73.08,80.564,3.27
105,Montorio al Vomano,0,IT,1551836953,100,42.58,13.64,48.002,2.1
106,East London,24,ZA,1551836296,100,-33.02,27.91,75.614,11.97
107,Dunkirk,88,FR,1551836946,87,51.03,2.38,48.992000000000004,5.1
108,Henties Bay,76,NA,1551834138,95,-22.12,14.28,66.00200000000001,2.24
109,Hihya,40,EG,1551836573,81,30.67,31.59,53.6,1.32
110,Collie,64,AU,1551836713,29,-33.36,116.15,71.006,7.22
111,Hay River,20,CA,1551834000,71,60.82,-115.79,8.599999999999998,1.12
112,Carnarvon,0,ZA,1551836980,45,-30.97,22.13,54.95,1.32
113,Casper,1,US,1551836919,58,42.87,-106.31,30.2,1.82
114,Saint-Denis,0,FR,1551836964,70,48.94,2.36,48.992000000000004,5.1
115,Sao Raimundo das Mangabeiras,12,BR,1551836980,93,-7.02,-45.48,68.95400000000001,1.07
116,Constitucion,20,MX,1551833040,9,23.99,-104.67,78.80000000000001,4.1
117,San Cristobal,75,EC,1551836806,87,-0.39,-78.55,59.0,2.1
118,Yar-Sale,0,RU,1551836745,70,66.83,70.83,-10.300000000000004,3.37
119,Lasa,0,CY,1551836742,81,34.92,32.53,50.0,4.1
120,Ushtobe,76,KZ,1551836981,87,45.25,77.98,31.226,1.22
121,Butaritari,92,KI,1551836981,100,3.07,172.79,74.44399999999999,1.97
122,Kodiak,1,US,1551836611,36,39.95,-94.76,17.6,3.1
123,Santa Marta,75,CO,1551834000,58,11.24,-74.21,86.0,9.3
124,Saldanha,92,PT,1551836982,95,41.42,-6.55,50.540000000000006,8.42
125,Norman Wells,5,CA,1551834000,48,65.28,-126.83,21.2,1.0
126,Los Llanos de Aridane,40,ES,1551835800,63,28.66,-17.92,64.4,3.1
127,Myingyan,20,MM,1551836983,69,21.46,95.39,77.53999999999999,1.32
128,Bolshoy Lug,0,RU,1551835800,62,52.08,104.09,24.8,4.0
129,Katsuura,75,JP,1551835483,62,33.93,134.5,55.400000000000006,1.0
130,Aklavik,20,CA,1551834000,57,68.22,-135.01,17.6,1.0
131,Ixtapa,5,MX,1551836415,83,20.71,-105.21,77.0,3.1
132,Paramonga,64,PE,1551836984,100,-10.68,-77.82,73.904,3.37
133,Koster,64,ZA,1551836987,90,-25.86,26.9,63.769999999999996,2.72
134,Robertsport,0,LR,1551836987,100,6.75,-11.37,80.744,4.27
135,Paamiut,64,GL,1551836987,99,61.99,-49.67,28.4,5.07
136,Bereda,92,ES,1551836940,82,43.27,-7.54,57.002,10.3
137,Busselton,64,AU,1551836782,29,-33.64,115.35,71.006,7.07
138,Bafia,32,CM,1551836988,93,4.74,11.22,70.78999999999999,1.67
139,Yoichi,75,JP,1551836411,74,43.19,140.77,44.006,6.7
140,Karpathos,32,GR,1551833400,72,35.51,27.21,59.0,4.1
141,Praia da Vitoria,40,PT,1551836776,71,38.73,-27.07,53.6,8.37
142,Tuktoyaktuk,20,CA,1551834000,77,69.44,-133.03,6.800000000000001,3.6
143,Kahului,75,US,1551836777,60,20.89,-156.47,75.992,7.7
144,Arkhara,0,RU,1551836989,54,49.42,130.09,24.35,3.02
145,Cap-aux-Meules,5,CA,1551834000,78,47.38,-61.86,14.0,5.1
146,Ribeira Grande,32,PT,1551836990,100,38.52,-28.7,58.334,6.62
147,Sabzevar,0,IR,1551836990,76,36.21,57.68,27.986,1.12
148,Vilyuysk,56,RU,1551836990,77,63.75,121.63,21.29,3.22
149,Asha,92,RU,1551836990,85,54.99,57.29,30.29,5.77
150,Dwarka,0,IN,1551834000,93,28.58,77.04,51.8,2.1
151,Thompson,90,CA,1551834000,65,55.74,-97.86,6.800000000000001,3.6
152,Port Hardy,20,CA,1551834000,30,50.7,-127.42,41.0,1.0
153,Samana,12,EC,1551836991,93,0.12,-76.97,74.804,1.02
154,Tocopilla,56,CL,1551836991,100,-22.09,-70.2,61.790000000000006,0.22
155,Victoria,75,BN,1551834000,70,5.28,115.24,86.0,1.5
156,Hasaki,75,JP,1551836976,71,35.73,140.83,55.004,2.1
157,Rio Grande,20,BR,1551836752,98,-32.03,-52.1,73.22,3.57
158,Deputatskiy,0,RU,1551836992,69,69.3,139.9,-11.254000000000005,1.72
159,Warmbad,75,DE,1551836951,93,50.67,13.08,37.994,1.0
160,Champerico,5,MX,1551833220,73,16.38,-93.6,69.80000000000001,12.9
161,Bermejo,20,AR,1551836993,88,-22.73,-64.34,73.634,0.77
162,Kashan,0,IR,1551834000,41,33.99,51.44,42.8,0.17
163,Genhe,0,CN,1551836993,65,50.78,121.52,23.45,4.62
164,Te Anau,8,NZ,1551836993,42,-45.41,167.72,69.314,6.12
165,Petropavlovsk-Kamchatskiy,76,RU,1551834000,48,53.05,158.65,17.6,2.0
166,Humaita,90,AR,1551835440,100,-24.93,-65.37,68.0,2.6
167,Kasongo-Lunda,48,CD,1551836994,98,-6.48,16.82,68.23400000000001,0.92
168,Mago,36,RU,1551836994,53,53.27,140.15,19.4,2.42
169,Cockburn Town,100,TC,1551836994,97,21.46,-71.14,77.95400000000001,5.82
170,San Jose,0,PH,1551836995,65,15.79,120.99,82.634,1.37
171,Kanniyakumari,0,IN,1551836995,99,8.08,77.57,82.4,8.07
172,San Juan,0,AR,1551836742,65,-31.54,-68.53,69.224,2.57
173,Oyama,75,JP,1551836976,62,36.31,139.8,55.004,0.5
174,Grootfontein,88,NA,1551836996,35,-19.56,18.1,78.314,3.32
175,Taloqan,20,AF,1551836996,64,36.74,69.54,32.054,1.42
176,Narsaq,64,GL,1551833400,21,60.91,-46.05,35.6,5.7
177,Martin,1,US,1551836830,58,36.34,-88.85,30.974,3.6
178,Severo-Kurilsk,64,RU,1551836999,100,50.68,156.12,24.17,7.72
179,Arraial do Cabo,44,BR,1551836857,94,-22.97,-42.02,79.52,5.07
180,Dikson,64,RU,1551836999,100,73.51,80.55,8.996000000000002,5.72
181,Port Blair,92,IN,1551836679,100,11.67,92.75,80.924,1.97
182,Menzelinsk,90,RU,1551834000,93,55.73,53.11,33.8,11.0
183,Tanete,80,ID,1551836999,86,-3.94,119.78,83.26400000000001,2.02
184,Zhuhai,0,CN,1551834000,45,40.71,112.04,26.6,1.0
185,Aranos,64,NA,1551837001,55,-24.14,19.11,71.24000000000001,4.22
186,Borovichi,24,RU,1551837001,82,58.39,33.91,15.349999999999998,8.17
187,Sovetskiy,92,RU,1551837004,96,56.76,48.47,33.35,7.82
188,Saint Anthony,90,US,1551836779,50,43.97,-111.68,33.8,2.1
